,recid,black,alcohol,drugs,married,felon,educ,rules,age,res_linear,res_logit,res_probit,age_20,age_30
0,0.0,0,1,0,1,0,7,2,441,0.28443098732187977,0.2832177359958173,0.28193702467345083,0,1
1,0.0,1,0,0,0,1,12,0,307,0.3953586955391879,0.3916352293313465,0.39281678794644725,0,0
2,1.0,0,0,0,0,0,9,5,262,0.41884388412866935,0.41949098786733485,0.4162087043636874,0,0
3,1.0,0,0,1,0,1,9,3,253,0.4420579914213071,0.4423961588356071,0.4412129957833872,0,0
4,0.0,0,0,1,0,0,9,0,244,0.3586796859727743,0.35300261914200787,0.3550765063452426,0,0
5,0.0,1,1,0,0,0,12,2,327,0.44849089791917224,0.4496414061408732,0.4484425144980999,0,0
6,0.0,1,0,0,0,1,10,3,314,0.47908747735710705,0.4839038414056801,0.48115303773742113,0,0
7,1.0,0,0,0,1,0,10,0,388,0.23708164503676962,0.24227189215837852,0.2408733862741736,0,1
8,0.0,1,1,0,1,0,6,0,417,0.35799268258699746,0.35278911290616854,0.3534836024753854,0,1
9,0.0,1,0,0,1,1,11,0,511,0.34152029322584065,0.33567731226051944,0.33670390710626535,0,1
10,0.0,1,1,0,0,0,11,0,328,0.39167869366063157,0.3876072135208091,0.3889105927056624,0,0
11,1.0,0,1,0,1,0,10,1,278,0.2483483563229681,0.2512811658835041,0.24951033807161727,0,0
12,1.0,1,0,0,0,0,11,0,211,0.5357135432012063,0.5419497142861084,0.5418266479947231,1,0
13,1.0,1,0,0,0,1,9,3,273,0.48627224292952653,0.49216608514760335,0.48907222712045867,0,0
14,0.0,0,0,0,0,1,11,4,292,0.38526825555095084,0.3831291707798404,0.38125890008717744,0,0
15,1.0,0,1,0,0,0,10,3,572,0.34421105286691545,0.3403186760503457,0.34016748558457444,0,1
16,0.0,0,1,0,0,0,14,1,472,0.3050979052623838,0.3024466059910762,0.3030552081645632,0,1
17,1.0,1,0,0,0,1,8,18,269,0.9117504412221554,0.867645789219709,0.8676016993337017,0,0
18,0.0,1,1,0,1,0,9,0,414,0.35851839714107697,0.3533417875909003,0.35402405551888544,0,1
19,1.0,1,0,0,0,0,9,0,288,0.3986882210483579,0.39529240244742947,0.39636030219234897,0,0
20,0.0,0,0,0,1,1,12,2,307,0.27158493200379025,0.2713164944296571,0.26959339648766456,0,0
21,0.0,0,0,0,0,0,9,1,268,0.3045185228728154,0.3018269925179124,0.3019973144360898,0,0
22,0.0,0,1,0,1,0,12,0,455,0.22534068666232804,0.2324902227312939,0.23087825553397195,0,1
23,1.0,0,0,0,0,0,11,0,342,0.2632324141685979,0.2639525080739443,0.26416520386460074,0,0
24,0.0,1,0,0,0,0,6,0,582,0.3834961668155421,0.3787704311017377,0.38081022369659023,0,1
25,1.0,1,0,0,1,1,11,3,377,0.44995765908549507,0.4519346739713609,0.44890211721438456,0,1
26,0.0,0,0,0,0,1,12,3,601,0.33912914551081386,0.33508734727829903,0.3350332791966187,0,1
27,0.0,0,0,0,0,0,9,7,295,0.46969799010764257,0.4757629229511693,0.4699032525630111,0,0
28,1.0,1,0,0,0,0,8,4,242,0.5200231096919382,0.5301863699679811,0.5253807811484861,0,0
29,0.0,1,0,1,0,0,10,0,255,0.482745010847479,0.4855324061506114,0.48589395194432655,0,0
30,0.0,0,0,0,0,1,9,8,276,0.5013459986537363,0.5113799698777178,0.503882187381315,0,0
31,0.0,0,0,0,0,0,9,2,438,0.3393744865788749,0.3360328116488192,0.3361032986378574,0,1
